Vendor Name,Mac Prefix
ASUSTek COMPUTER INC.,"00:E0:18, 00:0C:6E, 00:0E:A6, 00:11:2F, 00:11:D8, 00:13:D4, 00:15:F2, 00:17:31, 00:18:F3, 00:1A:92, 00:1B:FC, 00:1D:60, 00:1E:8C, 00:1F:C6, 00:22:15, 00:23:54, 00:24:8C, 00:26:18, 90:E6:BA, E0:CB:4E, 48:5B:39, 20:CF:30, BC:AE:C5, F4:6D:04, 14:DA:E9, 54:04:A6, C8:60:00, 10:BF:48, 30:85:A9, 50:46:5D, 08:60:6E, 60:A4:4C, 74:D0:2B, AC:22:0B, D8:50:E6, BC:EE:7B, E0:3F:49, 40:16:7E, 10:C3:7B, 78:24:AF, 54:A0:50, 38:2C:4A, AC:9E:17, F0:79:59, F8:32:E4, FC:C2:33, 1C:B7:2C, 14:DD:A9, 08:62:66, 2C:56:DC, 1C:87:2C, 30:5A:3A, 9C:5C:8E, D0:17:C2, 34:97:F6, 70:8B:CD, 38:D5:47, 70:4D:7B, 2C:4D:54, 60:45:CB, 88:D7:F6, 10:7B:44, B0:6E:BF, 2C:FD:A1, 18:31:BF, 4C:ED:FB, 0C:9D:92, 04:92:26, 40:B0:76, 04:D4:C4, 04:D9:F5, A8:5E:45, D4:5D:64, 24:4B:FE, 3C:7C:3F, F0:2F:74, FC:34:97, 7C:10:C9, 04:42:1A, 50:EB:F6, 58:11:22, A0:36:BC, C8:7F:54, 08:BF:B8, E8:9C:25, 10:7C:61, CC:28:AA"
Acer Inc.,C0:98:79
"Apple, Inc.","00:05:02, 00:10:FA, 00:A0:40, 08:00:07, 00:03:93, 00:0A:27, 00:30:65, 00:50:E4, 00:0A:95, 00:0D:93, 00:11:24, 00:14:51, 00:16:CB, 00:17:F2, 00:19:E3, 00:1B:63, 00:1C:B3, 00:1D:4F, 00:1E:52, 00:1E:C2, 00:1F:5B, 00:1F:F3, 00:21:E9, 00:22:41, 00:23:12, 00:23:32, 00:23:6C, 00:23:DF, 00:24:36, 00:25:00, 00:25:4B, 00:25:BC, 00:26:08, 00:26:4A, 00:26:B0, 00:26:BB, 04:1E:64, 34:15:9E, 60:FB:42, 64:B9:E8, 7C:6D:62, 90:84:0D, D4:9A:20, F8:1E:DF, 40:D3:2D, 58:B0:35, D8:30:62, E8:06:88, C4:2C:03, 90:27:E4, D8:A2:5E, 60:33:4B, 5C:59:48, 7C:C5:37, 78:CA:39, C8:BC:C8, 18:E7:F4, B8:FF:61, CC:08:E0, 10:93:E9, 10:9A:DD, 24:AB:81, 40:A6:D9, 58:55:CA, 70:CD:60, 8C:7B:9D, DC:2B:61, F0:B4:79, 04:0C:CE, 28:E7:CF, 3C:07:54, 44:2A:60, 58:1F:AA, 7C:F0:5F, 88:C6:63, 8C:58:77, 98:03:D8, A4:67:06, A4:B1:97, C8:2A:14, D8:9E:3F, E0:F8:47, E4:CE:8F, 0C:74:C2, 14:5A:05, 28:CF:DA, 40:30:04, 40:3C:FC, 48:60:BC, A4:D1:D2, B8:C7:5D, E8:04:0B, 14:8F:C6, 28:6A:B8, 34:51:C9, 28:37:37, 40:6C:8F, 50:EA:D6, 28:E0:2C, 60:C5:47, D0:23:DB, E0:B9:BA, 00:C6:10, 04:54:53, 70:DE:E2, B8:8D:12, 68:A8:6D, 7C:11:BE, B8:17:C2, F0:CB:A1, 28:6A:BA, 18:20:32, 3C:D0:F8, 78:A3:E4, 7C:C3:A1, 60:FA:CD, 68:09:27, 70:73:CB, 98:D6:BB, 00:3E:E1, 10:40:F3, 1C:AB:A7, 6C:C2:6B, 18:34:51, 44:D8:84, 64:20:0C, C0:84:7A, FC:25:3F, 00:F4:B9, 0C:77:1A, 74:E1:B6, EC:85:2F, 4C:B1:99, 64:E6:82, B8:F6:B1, C8:33:4B, F0:FB:56, 18:9E:FC, 5C:95:AE, 70:56:81, 7C:D1:C3, 80:49:71, 84:29:99, 8C:FA:BA, 9C:20:7B, C0:9F:42, F0:DC:E2, B0:65:BD, 6C:3E:6D, 74:E2:F5, A8:20:66, BC:67:78, 20:C9:D0, 68:96:7B, BC:52:B7, E0:C9:7A, 14:10:9F, 84:85:06, 8C:2D:AA, 98:FE:94, 44:4C:0C, 04:F7:E4, 10:DD:B1, 34:C0:59, 54:26:96, 5C:96:9D, 80:92:9F, 84:FC:FE, 88:53:95, 98:B8:E3, 9C:04:EB, A8:96:8A, A8:FA:D8, B4:F0:AB, D8:00:4D, D8:D1:CB, E4:8B:7F, 00:88:65, 04:15:52, 04:26:65, 20:7D:74, 28:CF:E9, 30:90:AB, 30:F7:C5, 38:48:4C, 3C:E0:72, 40:B3:95, 44:FB:42, 4C:8D:79, 60:FE:C5, 64:A3:CB, 70:11:24, 78:6C:1C, 7C:FA:DF, 88:CB:87, 94:94:26, AC:3C:0B, BC:3B:AF, BC:92:6B, C8:6F:1D, CC:78:5F, E4:25:E7, E8:8D:28, EC:35:86, F0:D1:A9, F4:1B:A1, F4:F1:5A, 10:1C:0C, 1C:E6:2B, 2C:B4:3A, 68:5B:35, A0:ED:CD, B8:78:2E, E0:F5:C6, 38:0F:4A, 68:9C:70, 88:1F:A1, 04:E5:36, 08:70:45, 84:38:35, C8:E0:EB, F4:F9:51, A8:88:08, C0:63:94, 18:AF:8F, 8C:00:6D, A4:C3:61, A8:BB:CF, C8:B5:B7, 90:72:40, 90:B2:1F, AC:7F:3E, B0:9F:BA, B8:E8:56, 0C:30:21, 0C:4D:E9, 28:0B:5C, D8:96:95, 30:10:E4, 54:EA:A8, A8:86:DD, 04:DB:56, 18:AF:61, 28:E1:4C, 54:E4:3A, 5C:F9:38, 60:69:44, DC:86:D8, E4:98:D6, E4:C6:3D, F0:C1:F1, F8:27:93, 04:F1:3E, 0C:3E:9F, 14:99:E2, 24:A2:E1, 60:03:08, 80:EA:96, 8C:29:37, 90:B9:31, 98:F0:AB, AC:FD:EC, B4:18:D1, D0:E1:40, DC:9B:9C, F0:F6:1C, 48:74:6E, 54:72:4F, 54:AE:27, 78:31:C1, 80:00:6E, 84:8E:0C, 8C:7C:92, AC:CF:5C, B0:34:95, F0:DB:F8, F4:37:B7, 34:E2:FD, 3C:15:C2, 60:D9:C7, 64:76:BA, 6C:70:9F, 04:48:9A, 1C:1A:C0, 3C:AB:8E, 60:92:17, 84:B1:53, C8:F6:50, D8:CF:9C, 48:D7:05, 78:3A:84, 7C:6D:F8, E0:66:78, 2C:BE:08, 5C:8D:4E, 78:FD:94, 88:63:DF, 24:E3:14, A8:8E:24, C0:F2:FB, E8:80:2E, 00:61:71, 00:F7:6F, 2C:F0:EE, 5C:97:F3, 68:AE:20, 68:D9:3C, 6C:40:08, 80:E6:50, 84:78:8B, 90:FD:61, AC:87:A3, C8:85:50, 80:BE:05, D4:F4:6F, E0:B5:2D, 6C:94:F8, 70:3E:AC, D0:4F:7E, D8:BB:2C, 34:A3:95, 48:43:7C, 78:7E:61, 9C:F3:87, 20:A2:E4, 24:A0:74, 60:F8:1D, A8:5B:78, F0:24:75, 2C:1F:23, 54:9F:13, 90:8D:6C, B8:09:8A, F0:DB:E2, 0C:15:39, 18:EE:69, 4C:7C:5F, 5C:F5:DA, C0:1A:DA, 00:CD:FE, CC:44:63, 6C:72:E7, CC:C7:60, 08:74:02, 28:5A:EB, 28:F0:76, 34:36:3B, C8:1E:E7, 9C:FC:01, AC:BC:32, 0C:D7:46, 44:00:10, 04:52:F3, 24:1E:EB, F4:31:C3, 64:A5:C3, 98:5A:EB, 20:78:F0, 78:D7:5F, E0:AC:CB, 98:E0:D9, C0:CE:CD, 70:E7:2C, D0:33:11, BC:4C:C4, 0C:BC:9F, A4:5E:60, 54:4E:90, 5C:AD:CF, 00:6D:52, BC:54:36, 38:71:DE, 94:E9:6A, AC:29:3A, 10:41:7F, 70:14:A6, A8:66:7F, D0:25:98, CC:29:F5, 64:9A:BE, B8:44:D9, DC:2B:2A, 6C:8D:C1, 38:CA:DA, 68:DB:CA, 04:4B:ED, A4:D1:8C, CC:25:EF, 78:9F:70, DC:37:14, 40:33:1A, 94:F6:A3, D8:1D:72, 70:EC:E4, 38:C9:86, FC:FC:48, 48:E9:F1, FC:E9:98, F0:99:BF, 68:64:4B, 20:9B:CD, F0:B0:E7, CC:20:E8, 28:ED:6A, 34:AB:37, 60:A3:7D, 00:56:CD, 70:81:EB, 08:66:98, 90:60:F1, 74:1B:B2, A4:31:35, 9C:35:EB, 50:7A:55, A0:99:9B, 24:24:0E, 90:3C:92, 34:12:98, 9C:29:3F, 74:81:14, 18:F6:43, D0:A6:37, A0:18:28, D0:03:4B, 7C:01:91, 70:48:0F, A4:B8:05, 58:7F:57, 80:D6:05, C8:69:CD, BC:6C:21, 04:69:F8, AC:61:EA, 38:B5:4D, A4:F1:E8, 1C:9E:46, E0:C7:67, 9C:4F:DA, 1C:5C:F2, E4:9A:79, 28:A0:2B, B4:4B:D2, B4:8B:19, F4:5C:89, BC:EC:5D, DC:41:5F, 30:63:6B, 20:76:8F, C0:CC:F8, 80:ED:2C, E8:B2:AC, 84:89:AD, 68:FB:7E, 90:C1:C6, 70:A2:B3, 4C:57:CA, A8:60:B6, 24:F0:94, 90:B0:ED, C4:B3:01, E0:5F:45, 48:3B:38, EC:AD:B8, 98:01:A7, 2C:F0:A2, 04:D3:CF, 0C:51:01, 08:6D:41, 8C:8E:F2, F4:0F:24, 84:A1:34, 1C:91:48, 9C:F4:8E, FC:D8:48, 88:E8:7F, B8:53:AC, 2C:33:61, 60:9A:C1, F0:79:60, 9C:8B:A0, 4C:32:75, 20:3C:AE, 74:8D:08, A0:3B:E3, 5C:F7:E6, A0:D7:95, CC:08:8D, 70:70:0D, 40:4D:7F, 7C:04:D0, BC:9F:EF, 88:66:A5, 78:4F:43, 58:40:4E, DC:0C:5C, 2C:20:0B, E4:E4:AB, 64:B0:A6, 84:FC:AC, 6C:19:C0, 20:AB:37, 18:65:90, B0:70:2D, D0:C5:F3, 60:F4:45, 00:B3:62, F8:62:14, 7C:50:49, DC:A4:CA, 8C:8F:E9, 50:82:D5, 9C:84:BF, D4:61:9D, B0:48:1A, 98:9E:63, DC:A9:04, 48:A1:95, 6C:AB:31, 50:32:37, 70:F0:87, 88:6B:6E, 4C:74:BF, 98:10:E8, B4:9C:DF, C0:D0:12, D4:DC:CD, 48:4B:AA, F8:03:77, 14:BD:61, 48:BF:6B, 24:5B:A7, BC:A9:20, A8:BE:27, B8:63:4D, 6C:96:CF, 30:35:AD, 84:41:67, B4:F6:1C, A4:E9:75, C0:A5:3E, 98:00:C6, 78:7B:8A, 38:66:F0, 20:EE:28, 08:F4:AB, 8C:85:90, 78:88:6D, A8:5C:2C, 00:DB:70, B0:19:C6, 58:E2:8F, AC:1F:74, 9C:E3:3F, F0:98:9D, AC:E4:B5, E4:2B:34, 1C:36:BB, 3C:2E:FF, E4:9A:DC, B8:C1:11, 34:08:BC, B0:CA:68, 80:B0:3D, C8:3C:85, A0:4E:A7, 40:9C:28, 24:F6:77, 78:67:D7, 54:33:CB, D0:D2:B0, D8:8F:76, 3C:2E:F9, F0:76:6F, 40:CB:C0, 40:98:AD, 6C:4D:73, C4:84:66, D0:2B:20, D0:81:7A, C4:61:8B, 68:AB:1E, 2C:61:F6, 98:CA:33, 68:EF:43, CC:2D:B7, D4:A3:3D, E4:E0:A6, 70:EF:00, 08:E6:89, DC:56:E7, 34:7C:25, D4:90:9C, C0:B6:58, 88:19:08, FC:2A:9C, 30:D9:D9, 60:30:D4, 94:BF:2D, C4:98:80, E0:33:8E, 68:FE:F7, BC:E1:43, 64:5A:ED, D4:61:DA, C8:D0:83, 88:E9:FE, 88:AE:07, 5C:09:47, 38:89:2C, 40:83:1D, 50:BC:96, 9C:E6:5E, 90:DD:5D, 08:F6:9C, 14:20:5E, 5C:1D:D9, 18:F1:D8, F8:6F:C1, F0:99:B6, DC:D3:A2, 10:94:BB, F0:18:98, 48:A9:1C, A0:56:F3, 54:99:63, 28:FF:3C, 64:70:33, 84:68:78, 74:9E:AF, B8:41:A4, F8:95:EA, 50:A6:7F, 4C:56:9D, 14:C2:13, 38:53:9C, 58:E6:BA, 74:B5:87, D8:1C:79, 8C:FE:57, C0:A6:00, E4:B2:FB, F8:38:80, 24:1B:7A, 40:26:19, BC:FE:D9, 80:82:23, 90:E1:7B, 18:81:0E, 60:8C:4A, A4:D9:31, FC:B6:D8, 6C:E8:5C, F8:E9:4E, F4:06:16, BC:B8:63, DC:08:0F, F8:2D:7C, 9C:64:8B, 14:D0:0D, FC:18:3C, C0:E8:62, EC:2C:E2, 64:C7:53, 38:F9:D3, 44:E6:6E, E8:36:17, 34:42:62, C0:9A:D0, 58:6B:14, 94:B0:1F, 94:F6:D6, 40:BC:60, 14:9D:99, 98:46:0A, AC:88:FD, 34:A8:EB, 80:4A:14, B8:5D:0A, 94:16:25, A4:83:E7, F4:AF:E7, 7C:9A:1D, 54:62:E2, 44:18:FD, 70:3C:69, B8:B2:F8, 00:5B:94, 88:B2:91, CC:D2:81, C4:2A:D0, E0:89:7E, 10:30:25, 4C:6B:E8, CC:66:0A, FC:1D:43, 8C:86:1E, 18:55:E3, 54:2B:8D, B8:F1:2A, 88:64:40, F8:87:F1, F0:C3:71, 30:57:14, 14:95:CE, E4:50:EB, F4:0E:01, 60:70:C0, C8:B1:CD, 60:8B:0E, 50:7A:C5, 50:DE:06, 14:60:CB, B8:7B:C5, 40:70:F5, B0:35:B5, 80:0C:67, 90:81:2A, 14:87:6A, E0:B5:5F, F8:FF:C2, E0:EB:40, 28:77:F1, F0:A3:5A, 60:83:73, 84:AD:8D, 74:42:8B, 3C:22:FB, 7C:A1:AE, F0:78:07, 08:2C:B6, F8:4E:73, 3C:CD:36, 10:29:59, E4:76:84, F0:5C:D5, 70:EA:5A, 78:D1:62, 08:F8:BC, 90:A2:5B, 88:A4:79, 3C:BF:60, AC:15:F4, 04:72:95, D4:46:E1, 88:A9:B7, EC:CE:D7, AC:90:85, 94:0C:98, E8:FB:E9, 38:EC:0D, 44:4A:DB, 30:90:48, B4:40:A4, 48:B8:A3, F4:DB:E3, 20:E8:74, D0:3F:AA, 7C:AB:60, 44:C6:5D, 18:7E:B9, B8:90:47, 90:9C:4A, 90:8C:43, 3C:7D:0A, E4:90:FD, D0:65:44, 84:AB:1A, BC:09:63, D8:4C:90, 24:D0:DF, 6C:4A:85, 28:F0:33, E8:85:4B, 28:EC:95, E0:2B:96, 64:0B:D7, A8:91:3D, 0C:3B:50, 14:C8:8B, EC:26:51, 18:3E:EF, 60:7E:C9, D8:DC:40, 80:5F:C5, 3C:4D:BE, 48:26:2C, 14:7D:DA, C4:91:0C, 20:69:80, E8:7F:95, 88:C0:8B, 4C:7C:D9, FC:66:CF, AC:1D:06, 44:A8:FC, F8:10:93, 74:8F:3C, 40:F9:46, D0:D2:3C, 78:E3:DE, 64:D2:C4, DC:52:85, E8:81:52, 90:81:58, 98:60:CA, 44:90:BB, 34:FD:6A, 44:35:83, BC:A5:A9, 20:E2:A8, A0:FB:C5, 00:7D:60, 4C:20:B8, 14:88:E6, B4:56:E3, B4:1B:B0, 58:D3:49, F4:34:F0, B0:8C:75, 9C:28:B3, A0:78:17, 5C:87:30, F8:66:5A, 60:BE:C4, F8:B1:DD, A8:81:7E, 44:F2:1B, 74:65:0C, E0:6D:17, F0:B3:EC, F4:65:A6, C4:0B:31, 54:09:10, 9C:FC:28, B4:85:E1, 0C:19:F8, 50:1F:C6, CC:69:FA, 10:CE:E9, 14:D1:9E, 40:C7:11, 5C:70:17, 8C:EC:7B, 34:31:8F, C4:14:11, CC:C9:5D, F4:D4:88, 68:2F:67, 50:ED:3C, 14:98:77, 88:66:5A, B0:E5:F9, FC:4E:A4, F4:BE:EC, 54:E6:1B, B8:81:FA, 9C:76:0E, 94:EA:32, 50:F4:EB, 28:C7:09, 1C:91:80, 4C:B9:10, E0:92:5C, 84:8C:8D, 0C:E4:41, B8:2A:A9, 78:64:C0, E8:1C:D8, 3C:06:30, F0:2F:4B, 40:E6:4B, B4:FA:48, 9C:58:3C, 3C:A6:F6, 4C:AB:4F, C4:12:34, 24:5E:48, 60:06:E3, C4:C3:6B, 08:C7:29, E8:A7:30, 94:5C:9A, 00:F3:9F, E8:78:65, A0:4E:CF, 08:87:C7, D8:DE:3A, 38:65:B2, 08:FF:44, AC:49:DB, 44:F0:9E, 18:56:C3, 84:AC:16, 2C:BC:87, 58:0A:D4, A8:4A:28, D8:BE:1F, 08:8E:DC, A4:77:F3, 98:50:2E, 88:B9:45, 7C:FC:16, DC:F4:CA, B0:BE:83, 20:37:A5, B8:37:4A, DC:B5:4F, 00:8A:76, 10:00:20, 7C:24:99, 8C:7A:AA, 64:5A:36, 5C:52:30, 20:32:C6, 98:DD:60, D4:68:AA, F8:C3:CC, C0:44:42, 5C:50:D9, A8:FE:9D, 88:4D:7C, A0:A3:09, 28:C5:38, 04:99:B9, 78:02:8B, F8:4D:89, D4:57:63, C0:2C:5C, 1C:B3:C9, 60:93:16, DC:53:92, FC:AA:81, 64:6D:2F, 04:68:65, BC:D0:74, 44:1B:88, 10:B9:C4, 9C:3E:53, 80:04:5F, C8:89:F3, 4C:E6:C0, 48:35:2B, 44:DA:30, 28:EA:2D, 38:88:A4, B8:E6:0C, 98:A5:F9, 60:DD:70, EC:A9:07, FC:E2:6C, 1C:71:25, 34:FE:77, 4C:79:75, 6C:E5:C9, 80:65:7C, DC:80:84, 50:57:8A, B0:DE:28, 18:E7:B0, D4:FB:8E, 34:28:40, B0:F1:D8, A4:C3:37, 78:FB:D8, 1C:57:DC, 98:69:8A, D0:88:0C, 50:23:A2, 20:78:CD, 30:D5:3E, 28:02:44, E8:5F:02, 7C:C1:80, A8:5B:B7, 14:2D:4D, 2C:82:17, EC:42:CC, B8:21:1C, B0:3F:64, 4C:2E:B4, 70:31:7F, 74:71:8B, 60:95:BD, B4:19:74, A4:CF:99, 7C:EC:B1, 5C:E9:1E, 04:99:BB, 5C:1B:F4, A8:51:AB, 1C:0D:7D, 14:F2:87, 14:94:6C, 58:55:95, B0:67:B5, C0:95:6D, 3C:39:C8, 5C:52:84, A8:AB:B5, 58:64:C4, 70:B3:06, B8:49:6D, 9C:92:4F, F0:D7:93, 20:0E:2B, 68:83:CB, 5C:3E:1B, 7C:2A:CA, 28:8E:EC, AC:BC:B5, 08:25:73, AC:00:7A, F0:1F:C7, 88:20:0D, B8:14:4D, 2C:57:CE, 08:65:18, EC:28:D3, 2C:32:6A, C4:AC:AA, D0:DA:D7, 6C:B1:33, 20:A5:CB, 94:AD:23, F4:21:CA, BC:89:A7, 6C:7E:67, A8:8F:D9, E4:9C:67, 08:95:42, A4:C6:F0, 1C:6A:76, F8:7D:76, 2C:76:00, 8C:98:6B, 40:ED:CF, 1C:86:82, 80:54:E3, 7C:29:6F, AC:C9:06, C4:35:D9, 04:BC:6D, 70:AE:D5, 20:1A:94, 74:31:74, B0:E5:EF, 28:8F:F6, 58:B9:65, F0:C7:25, 18:FA:B7, 70:22:FE, 88:1E:5A, 00:C5:85, A8:7C:F8, 30:82:16, B8:3C:28, 54:EB:E9, 84:B1:E4, 3C:6D:89, AC:45:00, AC:16:15, EC:73:79, 2C:18:09, FC:47:D8, 74:A6:CD, 2C:7C:F2, 30:D7:A1, FC:31:5D, C4:C1:7D, 60:D0:39, E0:BD:A0, F4:E8:C7, 58:73:D8, 14:85:09, CC:08:FA, 90:9B:6F, 74:73:B4, A4:FC:14, A8:1A:F1, 14:1A:97, 3C:1E:B5, AC:86:A3, FC:9C:A7, 48:E1:5C, 74:15:F5, 28:02:2E, 10:CF:0F, A4:16:C0, DC:45:B8, 90:EC:EA, F0:D3:1F, 10:B5:88, 54:32:C7, B4:AE:C1, 40:92:1A, 20:15:82, 10:E2:C9, 60:82:46, 04:9D:05, 98:B3:79, 2C:C2:53, 10:BD:3A, 18:4A:53, 10:9F:41, 84:88:E1, 70:72:FE, 7C:C0:6F, D4:2F:CA, EC:2C:73, 94:3F:D6, EC:81:50, 28:C1:A0, D0:58:A5, C0:17:54, 58:AD:12, 60:FD:A6, 80:A9:97, 34:8C:5E, F0:EE:7A, D4:0F:9E, 98:0D:AF, DC:6D:BC, A4:D2:3E, 30:E0:4F, A8:9C:78, 20:91:DF, 7C:61:30, 80:B9:89, C4:52:4F, 60:3E:5F, F8:E5:CE, 38:9C:B2, 58:36:53, 84:D3:28, 50:A6:D8, 68:CA:C4, 90:2C:09, EC:0D:51, A0:B4:0F, AC:DF:A1, DC:10:57, 68:3E:C0, 30:D8:75, 34:B1:EB, A0:52:72, A4:F8:41, 20:04:84, 18:3F:70, A4:F6:E8, 28:83:C9, 64:41:E6, 70:BB:5B, 60:57:C8, 74:0E:A4, 7C:4B:26, A0:D1:B3, CC:11:5A, D8:E5:93, CC:68:E0, AC:97:38, 68:45:CC, 0C:DB:EA, CC:60:23, 80:95:3A, F8:71:A6, 28:34:FF, 98:FE:E1, 2C:81:BF, D0:C0:50, 78:A7:C7, 84:94:37, D0:6B:78, 0C:53:B7, 7C:F3:4D, 0C:51:7E, 0C:6A:C4, BC:37:D3, F4:FE:3E, 60:65:25, F4:39:A6, 34:2B:6E, FC:55:57, 8C:26:AA, A8:BB:56, 90:62:3F, 28:2D:7F, D0:3E:07, 50:B1:27, F8:42:88, 60:0F:6B, 10:A2:D3, 88:B7:EB, 4C:97:CC, 34:EE:16, 5C:91:75, 40:DA:5C, D0:11:E5, A0:78:2D, 9C:FA:76, 9C:1A:25, DC:71:D0, 20:FA:85, 24:B3:39, 9C:58:84, 14:28:76, 14:7F:CE, B0:D5:76, 30:3B:7C, BC:BB:58, 1C:E2:09, 00:81:2A, 40:D1:60, AC:07:75, 84:2F:57, 04:41:A5, 1C:0E:C2, 94:21:57, 14:35:B7, 88:6B:DB, F4:52:93, 64:48:42, 9C:60:76, D0:D4:9F, 38:E1:3D, 94:0B:CD, D0:E5:81, 1C:3C:78, 70:8C:F2, 64:0C:91, 58:93:E8, F0:04:E1, CC:81:7D, 14:1B:A0, F8:73:DF"
BlackBerry RTS,"00:0F:86, 00:1C:CC, 00:25:57, 00:26:FF, F4:0B:93, 68:ED:43, 70:AA:B2, 1C:69:A5, 34:BB:1F, 40:6F:2A, 94:EB:CD, 48:9D:24, A4:E4:B8"
Dell Technologies,64:B9:4E
FUJITSU LIMITED,"00:00:0E, 00:E0:00, 00:0B:5D, 00:17:42, 00:23:26, 8C:73:6E, 5C:9A:D8, B0:99:28, 50:26:90, 2C:D4:44, B0:AC:FA, E0:18:77, 74:2B:62, E4:7F:B2, C4:7D:46, FC:08:4A, 38:AF:D7, A8:B2:DA, A0:66:10, 68:84:7E, EC:79:49"
Fairphone,84:CF:BF
"Google, Inc.","00:1A:11, F8:8F:CA, 94:EB:2C, A4:77:33, F4:F5:E8, 3C:5A:B4, 54:60:09, F4:F5:D8, F4:03:04, DA:A1:19, 94:95:A0, 98:D2:93, 08:9E:08, 70:3A:CB, D8:6C:63, 48:D6:D5, E4:F0:42, 20:DF:B9, 88:3D:24, 30:FD:38, 7C:2E:BD, 38:8B:59, 24:05:88, B0:2A:43, 44:07:0B, 3C:8D:20, 1C:F2:9A, 3C:28:6D, 7C:D9:5C, 58:CB:52, 00:F6:20, F0:5C:77, 28:BD:89, F0:EF:86, D4:F5:47, F0:72:EA, CC:F4:11, F8:0F:F9, 88:54:1F, 90:0C:C8, B0:E4:D5, CC:A7:C1, 44:BB:3B, 14:C1:4E, 60:B7:6E, D8:8C:79, 58:24:29, AC:67:84, 08:B4:B1, E4:5E:1B, 9C:4F:5F, D8:EB:46, F8:1A:2B, 14:22:3B, 20:1F:3B, 1C:53:F9, B0:6A:41, 0C:C4:13, DC:E5:5B, 74:74:46, BC:DF:58, 24:29:34, 38:86:F7, 90:CA:FA, C8:2A:DD, 60:70:6C, 24:E5:0F, D4:3A:2C, AC:3E:B1, 24:95:2F, 3C:31:74, B8:7B:D4, E8:D5:2B, 94:45:60, 5C:33:7B, 34:C7:E9, B8:DB:38"
HP Inc.,"04:0E:3C, 00:68:EB, E8:D8:D1, 38:22:E2, B0:5C:DA, BC:E9:2F, 84:2A:FD, F8:0D:AC, 30:24:A9, 6C:02:E0, B0:22:7A, 14:CB:19, 48:9E:BD, 50:81:40, E0:70:EA, C8:5A:CF, C0:18:03, A8:B1:3B, 84:69:93, 5C:60:BA, 38:CA:84, 7C:57:58, 7C:4D:8F, E0:73:E7, BC:0F:F3, 64:4E:D7, D0:AD:08, 2C:58:B9, 30:13:8B"
HTC Corporation,"00:09:2D, 00:23:76, 38:E7:D8, 90:21:55, F8:DB:7F, 7C:61:93, 64:A7:69, D8:B3:77, D4:20:6D, 18:87:96, A8:26:D9, 1C:B0:94, A0:F4:50, E8:99:C4, BC:CF:CC, 84:7A:88, 98:0D:2E, 50:2E:5C, 00:EE:BD, 2C:8A:72, B4:CE:F6, D4:0B:1A, 80:7A:BF, 90:E7:C4, 04:C2:3E, 80:01:84, AC:37:43, 40:4E:36, 74:F6:1C"
